sample_idx,frame_idx,t_sec,speed_kph_raw,ocr_raw
128,256,9.566122222222223,,
129,258,9.5974,,
130,260,9.633222222222223,,
131,262,9.664044444444444,,
132,264,9.69608888888889,,
133,266,9.73001111111111,,
134,268,9.764055555555556,,
135,270,9.795033333333334,,
136,272,9.833022222222223,,
137,274,9.865244444444444,,
138,276,9.895733333333334,,
139,278,9.9353,,
140,280,9.963511111111114,,
141,282,9.9946,,
142,284,10.031044444444445,,
143,286,10.062844444444448,,
144,288,10.362844444444445,,
145,290,10.400477777777779,,
146,292,10.436866666666667,,
147,294,10.471577777777778,,
148,296,10.504355555555556,,
149,298,10.53711111111111,,
150,300,10.571955555555556,,
151,302,10.606022222222222,,
152,304,10.640222222222222,,
153,306,10.671933333333333,,
154,308,10.703966666666668,,
155,310,10.737822222222222,,
156,312,10.770711111111112,,
157,314,10.802811111111112,,
158,316,10.8365,,
159,318,10.869366666666668,,
160,320,10.902577777777779,,
161,322,10.943455555555555,,
162,324,10.968322222222223,,
163,326,11.002577777777779,,
164,328,11.0356,2.0,2
165,330,11.0685,2.0,2
166,332,11.102544444444446,2.0,2
167,334,11.136433333333335,2.0,2
168,336,11.166877777777778,2.0,2
169,338,11.202677777777778,,
170,340,11.235777777777779,,
171,342,11.26768888888889,,
172,344,11.302900000000001,,
173,346,11.334511111111112,,
174,348,11.367700000000001,,
175,350,11.401055555555557,,
176,352,11.43358888888889,,
177,354,11.467344444444445,,
178,356,11.50058888888889,,
179,358,11.533344444444445,,
180,360,11.567,,
181,362,11.59958888888889,,
182,364,11.63398888888889,2.0,2
183,366,11.667922222222224,2.0,2
184,368,11.700633333333332,2.0,2
185,370,11.731422222222223,2.0,2
186,372,11.766322222222223,2.0,2
187,374,11.799022222222224,,
188,376,11.832711111111111,2.0,2
189,378,11.864411111111112,2.0,2
190,380,11.899755555555556,2.0,2
191,382,11.931788888888889,2.0,2
192,384,11.964011111111112,,
193,386,11.996822222222223,,
194,388,12.031366666666667,,
195,390,12.067922222222222,,
196,392,12.098433333333334,,
197,394,12.131633333333333,,
198,396,12.164,,
199,398,12.195477777777779,,
200,400,12.229766666666666,,
201,402,12.55497777777778,,
202,404,12.616855555555556,,
203,406,12.638522222222223,,
204,408,12.67808888888889,,
205,410,12.708577777777778,,
206,412,12.744911111111112,,
207,414,12.774266666666668,,
208,416,12.806155555555556,,
209,418,12.840477777777778,22.0,22
210,420,12.872411111111111,,
211,422,12.909522222222224,3.0,3
212,424,12.941033333333333,,
213,426,12.973022222222223,,
214,428,13.007100000000001,,
215,430,13.040722222222223,,
216,432,13.073355555555557,,
217,434,13.106244444444446,,
218,436,13.140233333333335,,
219,438,13.173211111111112,2.0,2
